source,target,value
Measuring Bias in LLMs (n=12793),Gender,4059
Measuring Bias in LLMs (n=12793),Technical/Methodological,2822
Measuring Bias in LLMs (n=12793),Race/Ethnicity,2773
Measuring Bias in LLMs (n=12793),Other,2274
Measuring Bias in LLMs (n=12793),Language/Dialect,1833
Measuring Bias in LLMs (n=12793),Cultural,1546
Measuring Bias in LLMs (n=12793),Religion,1392
Measuring Bias in LLMs (n=12793),Age,1387
Measuring Bias in LLMs (n=12793),Political,1239
Measuring Bias in LLMs (n=12793),Socioeconomic,1015
Measuring Bias in LLMs (n=12793),Disability,824
Measuring Bias in LLMs (n=12793),Sexual Orientation,820
Measuring Bias in LLMs (n=12793),Nationality,768
Measuring Bias in LLMs (n=12793),Geographic,476
Measuring Bias in LLMs (n=12793),Toxicity/Hate,412
Measuring Bias in LLMs (n=12793),Physical Appearance,332
Measuring Bias in LLMs (n=12793),Occupational,310
Measuring Bias in LLMs (n=12793),Demographic (General),291
Measuring Bias in LLMs (n=12793),Social (General),235
Measuring Bias in LLMs (n=12793),Stereotyping,218
Measuring Bias in LLMs (n=12793),Gender Identity,189
Measuring Bias in LLMs (n=12793),Educational,151
Measuring Bias in LLMs (n=12793),Intersectional,143
Measuring Bias in LLMs (n=12793),Moral/Ethical,122
Gender,Primary: No Single Primary,2824
Race/Ethnicity,Primary: No Single Primary,2333
Technical/Methodological,Primary: Technical/Methodological,1499
Religion,Primary: No Single Primary,1205
Age,Primary: No Single Primary,1194
Other,Primary: Other,996
Technical/Methodological,Primary: No Single Primary,974
Other,Primary: No Single Primary,902
Gender,Primary: Gender,890
Language/Dialect,Primary: Language/Dialect,817
Socioeconomic,Primary: No Single Primary,791
Sexual Orientation,Primary: No Single Primary,739
Disability,Primary: No Single Primary,687
Political,Primary: No Single Primary,676
Cultural,Primary: Cultural,640
Nationality,Primary: No Single Primary,622
Cultural,Primary: No Single Primary,595
Language/Dialect,Primary: No Single Primary,587
Political,Primary: Political,409
Physical Appearance,Primary: No Single Primary,303
Geographic,Primary: No Single Primary,279
Occupational,Primary: No Single Primary,265
Language/Dialect,Primary: Cultural,240
Toxicity/Hate,Primary: No Single Primary,219
Other,Primary: Technical/Methodological,209
Demographic (General),Primary: No Single Primary,203
Technical/Methodological,Primary: Other,176
Stereotyping,Primary: No Single Primary,170
Social (General),Primary: No Single Primary,166
Cultural,Primary: Language/Dialect,160
Toxicity/Hate,Primary: Toxicity/Hate,157
Race/Ethnicity,Primary: Race/Ethnicity,156
Educational,Primary: No Single Primary,129
Gender Identity,Primary: No Single Primary,121
Intersectional,Primary: No Single Primary,114
Geographic,Primary: Geographic,95
Disability,Primary: Disability,93
Race/Ethnicity,Primary: Gender,87
Moral/Ethical,Primary: Moral/Ethical,72
Gender,Primary: Cultural,57
Technical/Methodological,Primary: Language/Dialect,57
Language/Dialect,Primary: Technical/Methodological,57
Gender,Primary: Technical/Methodological,56
Socioeconomic,Primary: Socioeconomic,55
Political,Primary: Technical/Methodological,49
Religion,Primary: Cultural,48
Age,Primary: Gender,46
Other,Primary: Language/Dialect,46
Gender,Primary: Language/Dialect,45
Nationality,Primary: Nationality,44
Religion,Primary: Religion,40
Moral/Ethical,Primary: No Single Primary,39
Age,Primary: Age,39
Geographic,Primary: Cultural,39
Gender Identity,Primary: Gender Identity,38
Demographic (General),Primary: Demographic (General),36
Gender,Primary: Race/Ethnicity,36
Gender,Primary: Other,36
Race/Ethnicity,Primary: Language/Dialect,35
Race/Ethnicity,Primary: Cultural,35
Language/Dialect,Primary: Other,35
Technical/Methodological,Primary: Political,35
Political,Primary: Other,35
Social (General),Primary: Social (General),34
Socioeconomic,Primary: Cultural,34
Nationality,Primary: Cultural,34
Religion,Primary: Gender,32
Language/Dialect,Primary: Political,30
Technical/Methodological,Primary: Cultural,29
Other,Primary: Cultural,29
Sexual Orientation,Primary: Gender,29
Gender,Primary: Political,27
Socioeconomic,Primary: Gender,24
Political,Primary: Cultural,23
Race/Ethnicity,Primary: Technical/Methodological,23
Race/Ethnicity,Primary: Other,23
Socioeconomic,Primary: Geographic,22
Cultural,Primary: Technical/Methodological,22
Cultural,Primary: Other,22
Cultural,Primary: Geographic,21
Socioeconomic,Primary: Language/Dialect,20
Geographic,Primary: Language/Dialect,20
